learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
21000.0,1.54565717,3.6257905889826095E-7,21000.0,79.10000000000001,58.20501539815223,75.75406032482599,47.08860759493672,21000.0,186112.0,10.0,936.5,44.28826029547785,9351.999999999998,4.917090377222915,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.57343087,3.6393123273081656E-7,22000.0,85.1,70.19999999999999,85.1,70.19999999999999,22000.0,188192.0,10.0,1921.3,39.85475016997486,9392.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.613666792,3.659058733899477E-7,23000.0,87.2,74.4,87.2,74.4,23000.0,189704.0,10.0,2916.1000000000004,37.42116157113958,9392.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,1.656320272,3.681463153828266E-7,24000.0,89.1,78.2,89.1,78.2,24000.0,203040.0,10.0,3912.4,46.47560889565862,10718.400000000001,676.8867819329577,3.6,0.3055050463303893,2.3000000000000003,0.15275252316519464,2.3000000000000003,0.15275252316519464,1.3,0.15275252316519464,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.714498003,3.7161048662893673E-7,25000.0,91.8,83.60000000000001,91.8,83.60000000000001,25000.0,230168.0,10.0,4910.099999999999,49.43310856321116,13400.0,1397.5328101892833,4.8,0.6289320754704403,2.9,0.31446603773522014,2.9,0.31446603773522014,1.9,0.31446603773522014,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,1.762776437,3.746723530818459E-7,26000.0,91.5,83.0,91.5,83.0,26000.0,245152.0,10.0,5911.7,48.470621113320895,14840.800000000001,1184.909830605969,5.4,0.49888765156985887,3.2,0.24944382578492943,3.2,0.24944382578492943,2.2,0.24944382578492943,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,1.81345691,3.7861459099567177E-7,27000.0,90.0,80.0,90.0,80.0,27000.0,300680.0,10.0,6900.3,46.16493378215883,20306.4,3289.6404774855127,8.2,1.9136933459209764,5.5,1.8454147380888546,5.5,1.8454147380888546,2.6999999999999997,0.21343747458109494,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,1.877982585,3.849525278297935E-7,28000.0,89.60000000000001,79.2,89.60000000000001,79.2,28000.0,379680.0,10.0,7099.1,771.0598686944554,28252.799999999996,7400.0039591581,10.0,2.092313976863362,6.4,1.8985374487864193,6.4,1.8985374487864193,2.6,0.33993463423951903,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,1.934124627,3.9194727968800806E-7,29000.0,90.2,80.4,90.2,80.4,29000.0,481600.0,10.0,8014.099999999999,834.8578381976178,38408.799999999996,10216.578245185616,12.8,2.6407069760451143,8.7,2.494660965609021,8.7,2.494660965609021,2.9,0.2333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.987082628,3.990418289199222E-7,30000.0,90.5,81.0,90.5,81.0,30000.0,517840.0,10.0,9012.4,835.4051339187338,41971.2,10679.91152356194,13.9,2.7180466842528253,9.399999999999999,2.517494345133227,9.399999999999999,2.517494345133227,3.1,0.2333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,2.050092398,4.0782019751326065E-7,31000.0,90.9,81.80000000000001,90.9,81.80000000000001,31000.0,538528.0,10.0,10011.300000000003,838.4002895726811,44030.399999999994,10683.545232635925,14.700000000000003,2.683488608343831,9.8,2.4801433650317697,9.8,2.4801433650317697,3.2,0.24944382578492943,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,2.127331238,4.189837576285583E-7,32000.0,92.80000000000001,85.60000000000001,92.80000000000001,85.60000000000001,32000.0,558688.0,10.0,11022.2,835.2455367535144,46003.200000000004,10683.882986172312,15.5,2.6635398334630636,10.2,2.48014336503177,10.2,2.48014336503177,3.3000000000000003,0.21343747458109494,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,2.188753545,4.2852093247651836E-7,33000.0,92.4,84.80000000000001,92.4,84.80000000000001,33000.0,600200.0,10.0,12006.6,834.8115050051052,50099.20000000001,10536.02221882412,17.3,2.573583752927682,11.1,2.424183711410228,11.1,2.424183711410228,3.4000000000000004,0.2211083193570266,0.0,0.0,0.0,0.0,1.0,0.0
34000.0,2.247564332,4.38231488160851E-7,34000.0,90.7,81.4,90.7,81.4,34000.0,638248.0,10.0,13020.999999999998,834.9218060526518,53868.0,11001.216272152213,18.900000000000002,2.78268455512538,11.9,2.5317977802344322,11.9,2.5317977802344322,3.5,0.22360679774997896,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.306252124,4.48295226813981E-7,35000.0,93.0,86.00000000000001,93.0,86.00000000000001,35000.0,662848.0,10.0,14029.4,842.2856100450066,56316.0,11117.104675029175,19.9,2.8614293242674678,12.399999999999999,2.5569078547686805,12.399999999999999,2.5569078547686805,3.6,0.22110831935702663,0.0,0.0,0.0,0.0,1.0,0.0
36000.0,2.362656569,4.5818699729597185E-7,36000.0,92.5,85.00000000000001,92.5,85.00000000000001,36000.0,677896.0,10.0,15013.199999999999,839.6578774186014,57780.00000000001,11266.056898686622,20.5,2.85676584814211,12.7,2.5692627563390844,12.7,2.5692627563390844,3.6999999999999997,0.21343747458109494,0.0,0.0,0.0,0.0,1.0,0.0
37000.0,2.425342663,4.6931505970490674E-7,37000.0,93.0,86.00000000000001,93.0,86.00000000000001,37000.0,686200.0,10.0,16015.800000000001,840.4653843093257,58605.6,11244.734980524094,20.9,2.8846336181759913,12.899999999999999,2.5666666666666664,12.899999999999999,2.5666666666666664,3.6999999999999997,0.21343747458109494,0.0,0.0,0.0,0.0,1.0,0.0
38000.0,2.479807834,4.790887966940261E-7,38000.0,93.4,86.80000000000001,93.4,86.80000000000001,38000.0,693656.0,10.0,17002.9,841.2359881613348,59348.8,11261.734254446681,21.1,2.87691964897643,13.0,2.556038601690775,13.0,2.556038601690775,3.8,0.24944382578492943,0.0,0.0,0.0,0.0,1.0,0.0
39000.0,2.540984832,4.905358115796288E-7,39000.0,93.8,87.6,93.8,87.6,39000.0,723280.0,10.0,17985.4,844.1604797404079,62260.8,11088.550007202122,22.5,2.8333333333333335,13.7,2.5300417212194564,13.7,2.5300417212194564,4.0,0.21081851067789192,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.608349378,5.035847833704823E-7,40000.0,93.10000000000001,86.20000000000002,93.10000000000001,86.20000000000002,40000.0,748768.0,10.0,18992.2,846.334262832626,64778.4,10576.283677486466,23.7,2.582204054248575,14.299999999999999,2.4085495866000164,14.299999999999999,2.4085495866000164,4.1,0.17950549357115014,0.0,0.0,0.0,0.0,1.0,0.0
41000.0,2.683204346,5.185029856947932E-7,41000.0,92.7,85.4,92.7,85.4,41000.0,770368.0,10.0,19993.6,844.7370557358859,66912.0,10362.84762236927,24.5,2.535306249307522,14.7,2.3666666666666663,14.7,2.3666666666666663,4.1,0.17950549357115014,0.0,0.0,0.0,0.0,1.0,0.0
42000.0,2.747504964,5.316459291493188E-7,42000.0,93.2,86.4,93.2,86.4,42000.0,790096.0,10.0,20995.499999999996,844.2629428481782,68858.4,10430.852973750514,25.299999999999997,2.5907956735764057,15.100000000000001,2.3872345693058508,15.100000000000001,2.3872345693058508,4.1,0.17950549357115014,0.0,0.0,0.0,0.0,1.0,0.0
43000.0,2.811112029,5.452229116007974E-7,43000.0,93.0,86.00000000000001,93.0,86.00000000000001,43000.0,825088.0,10.0,21994.4,845.6727919893787,72327.2,11219.726592826484,26.599999999999998,2.6923760675078223,15.900000000000002,2.575310121562493,15.900000000000002,2.575310121562493,4.3999999999999995,0.16329931618554522,0.0,0.0,0.0,0.0,1.0,0.0
44000.0,2.877766997,5.600955234322903E-7,44000.0,93.2,86.4,93.2,86.4,44000.0,862496.0,10.0,22997.1,841.8289143947903,76036.80000000002,10827.349219863969,28.1,2.4830536755284927,16.800000000000004,2.4485823562942612,16.800000000000004,2.4485823562942612,4.5,0.16666666666666663,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,2.939628453,5.740738383857036E-7,45000.0,93.60000000000001,87.20000000000002,93.60000000000001,87.20000000000002,45000.0,873448.0,10.0,23983.9,841.0047357509679,77127.20000000001,10649.418618247038,28.500000000000004,2.423266849156779,17.0,2.412928142780514,17.0,2.412928142780514,4.5,0.16666666666666663,0.0,0.0,0.0,0.0,1.0,0.0
46000.0,3.012389741,5.908754521770567E-7,46000.0,93.10000000000001,86.20000000000002,93.10000000000001,86.20000000000002,46000.0,892592.0,10.0,24991.6,848.9917968455944,79029.6,10545.32671133943,29.499999999999996,2.557125121868088,17.5,2.4910952522044503,17.5,2.4910952522044503,4.5,0.16666666666666663,0.0,0.0,0.0,0.0,1.0,0.0
47000.0,3.075319983,6.056881278199121E-7,47000.0,93.8,87.6,93.8,87.6,47000.0,909864.0,10.0,26000.7,852.6655596813246,80747.99999999999,11160.420493870288,30.100000000000005,2.6975297341580258,17.8,2.5508168626278653,17.8,2.5508168626278653,4.6,0.16329931618554522,0.0,0.0,0.0,0.0,1.0,0.0
48000.0,3.143935927,6.22154375678665E-7,48000.0,93.89999999999999,87.79999999999998,93.89999999999999,87.79999999999998,48000.0,927624.0,10.0,26994.7,853.5077953168715,82496.79999999999,11319.503998556353,31.099999999999994,2.7545921254838754,18.3,2.569262756339085,18.3,2.569262756339085,4.6,0.16329931618554522,0.0,0.0,0.0,0.0,1.0,0.0
49000.0,3.215057064,6.398919806364053E-7,49000.0,93.5,87.00000000000001,93.5,87.00000000000001,49000.0,964048.0,10.0,27981.5,856.2276598869926,86086.40000000001,11022.096710396498,32.7,2.793046922468563,19.1,2.5925105807134345,19.1,2.5925105807134345,4.6,0.16329931618554522,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.285513647,6.584465089916623E-7,50000.0,92.30000000000001,84.60000000000001,92.30000000000001,84.60000000000001,50000.0,1017960.0,10.0,28980.0,852.6275075709594,91478.4,11108.789732259562,36.0,3.3631995348345165,21.8,3.111984004529015,21.8,3.111984004529015,4.7,0.15275252316519464,0.0,0.0,0.0,0.0,1.0,0.0
51000.0,3.362258747,6.801417029280897E-7,51000.0,93.2,86.4,93.2,86.4,51000.0,1092736.0,10.0,29969.0,851.5383595456974,98893.59999999999,12885.890443254415,36.70000000000001,3.306727149984475,22.3,3.0443025108845174,22.3,3.0443025108845174,4.7,0.15275252316519464,0.0,0.0,0.0,0.0,1.0,0.0
52000.0,3.430228685,6.995908715950386E-7,52000.0,93.0,86.00000000000001,93.0,86.00000000000001,52000.0,1106080.0,10.0,30974.2,857.5576533906561,100188.8,12650.095164156755,36.900000000000006,3.233333333333334,22.400000000000002,3.011828532820404,22.400000000000002,3.011828532820404,4.7,0.15275252316519464,0.0,0.0,0.0,0.0,1.0,0.0
53000.0,3.500928718,7.1744747100049E-7,53000.0,94.0,87.99999999999999,94.0,87.99999999999999,53000.0,976296.0,10.0,28731.7,3220.3116690090037,87348.8,14177.410724889864,33.0,4.568004670166906,19.7,3.448187929913334,19.7,3.448187929913334,4.3,0.3958114029012639,0.0,0.0,0.0,0.0,1.0,0.0
54000.0,3.572325611,7.362908531482144E-7,54000.0,93.0,86.00000000000001,93.0,86.00000000000001,54000.0,1020192.0,10.0,29728.5,3219.326804197148,91711.20000000001,14775.254289069499,34.9,4.909061915365184,21.1,3.701201006280109,21.1,3.701201006280109,4.4,0.3999999999999999,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,3.652301517,7.590976600265874E-7,55000.0,93.2,86.4,93.2,86.4,55000.0,1102320.0,10.0,30726.6,3221.100112970377,99855.2,15546.064548660248,37.2,4.891716354091771,22.4,3.658171978218386,22.4,3.658171978218386,4.7,0.3,0.0,0.0,0.0,0.0,1.0,0.0
56000.0,3.724258996,7.798800987582962E-7,56000.0,93.89999999999999,87.79999999999998,93.89999999999999,87.79999999999998,56000.0,1116408.0,10.0,31723.100000000002,3223.9042047044622,101242.4,15328.606206987277,37.6,4.745055906473131,22.6,3.5938218591849473,22.6,3.5938218591849473,4.799999999999999,0.20000000000000004,0.0,0.0,0.0,0.0,1.0,0.0
57000.0,3.816002522,8.095327435327506E-7,57000.0,93.60000000000001,87.20000000000002,93.60000000000001,87.20000000000002,57000.0,1249368.0,10.0,32718.9,3222.286767188792,114501.6,15987.878432807218,42.199999999999996,4.986203187017374,26.1,3.798976470343324,26.1,3.798976470343324,4.799999999999999,0.20000000000000004,0.0,0.0,0.0,0.0,1.0,0.0
58000.0,3.889903233,8.337264012387973E-7,58000.0,94.19999999999999,88.39999999999999,94.19999999999999,88.39999999999999,58000.0,1265480.0,10.0,33725.2,3221.769747618018,116108.0,15607.414727907015,42.599999999999994,4.791659420284375,26.3,3.708998067762596,26.3,3.708998067762596,4.9,0.10000000000000002,0.0,0.0,0.0,0.0,1.0,0.0
59000.0,3.980813497,8.643125581436935E-7,59000.0,93.8,87.6,93.8,87.6,59000.0,1300512.0,10.0,34744.1,3220.45166414761,119606.40000000001,15784.807719379347,44.3,5.015642198828248,27.6,3.9614812044654872,27.6,3.9614812044654872,4.9,0.10000000000000002,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,4.063355514,8.930532432128281E-7,60000.0,94.19999999999999,88.39999999999999,94.19999999999999,88.39999999999999,60000.0,1345936.0,10.0,35728.4,3225.1080781201044,124132.0,16349.025398067819,46.3,5.14252423966631,28.9,4.10270913205192,28.9,4.10270913205192,5.0,0.14907119849998599,0.0,0.0,0.0,0.0,1.0,0.0
